year,city,country,avg_temp,MA
1848,Manama,Bahrain,25.12,
1849,Manama,Bahrain,25.37,
1850,Manama,Bahrain,24.95,
1851,Manama,Bahrain,25.62,
1852,Manama,Bahrain,25.44,
1853,Manama,Bahrain,25.47,
1854,Manama,Bahrain,25.26,
1855,Manama,Bahrain,25.5,
1856,Manama,Bahrain,25.15,
1857,Manama,Bahrain,24.84,25.272
1858,Manama,Bahrain,25.57,25.317
1859,Manama,Bahrain,25.58,25.338
1860,Manama,Bahrain,25.5,25.393
1861,Manama,Bahrain,24.75,25.306
1862,Manama,Bahrain,24.46,25.208
1863,Manama,Bahrain,24.9,25.151
1864,Manama,Bahrain,25.46,25.171
1865,Manama,Bahrain,25.71,25.192
1866,Manama,Bahrain,25.38,25.215
1867,Manama,Bahrain,25.72,25.303
1868,Manama,Bahrain,25.61,25.307
1869,Manama,Bahrain,25.85,25.334
1870,Manama,Bahrain,25.6,25.344
1871,Manama,Bahrain,25.42,25.411
1872,Manama,Bahrain,25.49,25.514
1873,Manama,Bahrain,25.8,25.604
1874,Manama,Bahrain,25.58,25.616
1875,Manama,Bahrain,25.27,25.572
1876,Manama,Bahrain,25.49,25.583
1877,Manama,Bahrain,25.99,25.61
1878,Manama,Bahrain,25.96,25.645
1879,Manama,Bahrain,25.76,25.636
1880,Manama,Bahrain,25.32,25.608
1881,Manama,Bahrain,26.19,25.685
1882,Manama,Bahrain,25.24,25.66
1883,Manama,Bahrain,25.83,25.663
1884,Manama,Bahrain,25.42,25.647
1885,Manama,Bahrain,25.47,25.667
1886,Manama,Bahrain,25.65,25.683
1887,Manama,Bahrain,25.43,25.627
1888,Manama,Bahrain,25.75,25.606
1889,Manama,Bahrain,26.04,25.634
1890,Manama,Bahrain,25.54,25.656
1891,Manama,Bahrain,25.86,25.623
1892,Manama,Bahrain,25.89,25.688
1893,Manama,Bahrain,25.8,25.685
1894,Manama,Bahrain,25.33,25.676
1895,Manama,Bahrain,25.39,25.668
1896,Manama,Bahrain,25.44,25.647
1897,Manama,Bahrain,25.4,25.644
1898,Manama,Bahrain,25.26,25.595
1899,Manama,Bahrain,25.8,25.571
1900,Manama,Bahrain,25.83,25.6
1901,Manama,Bahrain,26.15,25.629
1902,Manama,Bahrain,25.92,25.632
1903,Manama,Bahrain,25.2,25.572
1904,Manama,Bahrain,25.64,25.603
1905,Manama,Bahrain,25.54,25.618
1906,Manama,Bahrain,25.48,25.622
1907,Manama,Bahrain,25.18,25.6
1908,Manama,Bahrain,25.64,25.638
1909,Manama,Bahrain,26.06,25.664
1910,Manama,Bahrain,25.16,25.597
1911,Manama,Bahrain,24.63,25.445
1912,Manama,Bahrain,25.5,25.403
1913,Manama,Bahrain,25.47,25.43
1914,Manama,Bahrain,25.71,25.437
1915,Manama,Bahrain,26.01,25.484
1916,Manama,Bahrain,25.29,25.465
1917,Manama,Bahrain,25.58,25.505
1918,Manama,Bahrain,25.23,25.464
1919,Manama,Bahrain,25.85,25.443
1920,Manama,Bahrain,25.55,25.482
1921,Manama,Bahrain,25.54,25.573
1922,Manama,Bahrain,25.96,25.619
1923,Manama,Bahrain,25.56,25.628
1924,Manama,Bahrain,26.24,25.681
1925,Manama,Bahrain,25.56,25.636
1926,Manama,Bahrain,25.75,25.682
1927,Manama,Bahrain,25.67,25.691
1928,Manama,Bahrain,25.73,25.741
1929,Manama,Bahrain,25.81,25.737
1930,Manama,Bahrain,25.78,25.76
1931,Manama,Bahrain,25.75,25.781
1932,Manama,Bahrain,25.36,25.721
1933,Manama,Bahrain,25.18,25.683
1934,Manama,Bahrain,25.41,25.6
1935,Manama,Bahrain,26.05,25.649
1936,Manama,Bahrain,25.5,25.624
1937,Manama,Bahrain,25.56,25.613
1938,Manama,Bahrain,25.77,25.617
1939,Manama,Bahrain,25.63,25.599
1940,Manama,Bahrain,26.04,25.625
1941,Manama,Bahrain,25.98,25.648
1942,Manama,Bahrain,26.2,25.732
1943,Manama,Bahrain,25.56,25.77
1944,Manama,Bahrain,26.01,25.83
1945,Manama,Bahrain,25.66,25.791
1946,Manama,Bahrain,26.5,25.891
1947,Manama,Bahrain,26.78,26.013
1948,Manama,Bahrain,25.43,25.979
1949,Manama,Bahrain,25.31,25.947
1950,Manama,Bahrain,25.36,25.879
1951,Manama,Bahrain,26.19,25.9
1952,Manama,Bahrain,26.09,25.889
1953,Manama,Bahrain,25.99,25.932
1954,Manama,Bahrain,26.31,25.962
1955,Manama,Bahrain,26,25.996
1956,Manama,Bahrain,25.62,25.908
1957,Manama,Bahrain,25.64,25.794
1958,Manama,Bahrain,26.19,25.87
1959,Manama,Bahrain,25.22,25.861
1960,Manama,Bahrain,26.2,25.945
1961,Manama,Bahrain,25.63,25.889
1962,Manama,Bahrain,26.43,25.923
1963,Manama,Bahrain,26.17,25.941
1964,Manama,Bahrain,25.36,25.846
1965,Manama,Bahrain,26.23,25.869
1966,Manama,Bahrain,26.55,25.962
1967,Manama,Bahrain,25.38,25.936
1968,Manama,Bahrain,25.85,25.902
1969,Manama,Bahrain,26.51,26.031
1970,Manama,Bahrain,26.25,26.036
1971,Manama,Bahrain,25.72,26.045
1972,Manama,Bahrain,25.33,25.935
1973,Manama,Bahrain,25.92,25.91
1974,Manama,Bahrain,25.84,25.958
1975,Manama,Bahrain,25.77,25.912
1976,Manama,Bahrain,25.64,25.821
1977,Manama,Bahrain,26.47,25.93
1978,Manama,Bahrain,26.2,25.965
1979,Manama,Bahrain,26.75,25.989
1980,Manama,Bahrain,26.48,26.012
1981,Manama,Bahrain,26.51,26.091
1982,Manama,Bahrain,25.45,26.103
1983,Manama,Bahrain,25.52,26.063
1984,Manama,Bahrain,25.89,26.068
1985,Manama,Bahrain,26.14,26.105
1986,Manama,Bahrain,26.25,26.166
1987,Manama,Bahrain,26.58,26.177
1988,Manama,Bahrain,26.56,26.213
1989,Manama,Bahrain,25.96,26.134
1990,Manama,Bahrain,26.26,26.112
1991,Manama,Bahrain,25.73,26.034
1992,Manama,Bahrain,25.09,25.998
1993,Manama,Bahrain,26.09,26.055
1994,Manama,Bahrain,26.66,26.132
1995,Manama,Bahrain,26.18,26.136
1996,Manama,Bahrain,26.76,26.187
1997,Manama,Bahrain,26.11,26.14
1998,Manama,Bahrain,27.54,26.238
1999,Manama,Bahrain,27.67,26.409
2000,Manama,Bahrain,26.99,26.482
2001,Manama,Bahrain,27.36,26.645
2002,Manama,Bahrain,27.19,26.855
2003,Manama,Bahrain,27.29,26.975
2004,Manama,Bahrain,27.07,27.016
2005,Manama,Bahrain,26.89,27.087
2006,Manama,Bahrain,27.15,27.126
2007,Manama,Bahrain,27.13,27.228
2008,Manama,Bahrain,26.96,27.17
2009,Manama,Bahrain,27.24,27.127
2010,Manama,Bahrain,28,27.228
2011,Manama,Bahrain,27.01,27.193
2012,Manama,Bahrain,27.45,27.219
2013,Manama,Bahrain,27.86,27.276